CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3501012,Cornwall,2,2000,"45.0401328,-74.7517589",3,2,0,0,1,1300,1,49442
3501012,Cornwall,2,3200,"45.0446965,-74.7302234",3,2,1,1,1,1500,1,49442
3501012,Cornwall,2,2195,"45.0281161,-74.7443444",3,2,0,0,1,1200,1,49442
3501012,Cornwall,2,2600,"45.0334732,-74.7082731",2,3,0,0,0,1500,1,49442
3501012,Cornwall,2,1600,"45.0192984,-74.721471",2,1.5,0,0,1,900,1,49442
3501012,Cornwall,2,1150,"45.0261462,-74.6875813",4,1,1,1,1,3500,1,49442
3501012,Cornwall,2,2100,"45.0217848,-74.7129324",3,2,0,0,0,1300,1,49442
3501012,Cornwall,2,2200,"45.036524,-74.7269475",3,2,0,0,1,1500,1,49442
3501012,Cornwall,2,2400,"45.0251986,-74.7202712",3,2,0,0,0,1100,1,49442
3501012,Cornwall,2,2300,"45.0446166,-74.743541",2.5,2,0,0,0,1100,1,49442
3501012,Cornwall,2,2300,"45.0226232,-74.7201601",3,1,0,0,1,1000,2,49442
3501012,Cornwall,2,1740,"45.0541762,-74.7661501",3,1,0,0,1,1200,1,49442
3501012,Cornwall,2,2600,"45.0290106,-74.7107016",4,2,0,0,0,1200,1,49442
3501012,Cornwall,2,2350,"45.0466966,-74.7452244",3,2,0,0,1,1200,1,49442
3501012,Cornwall,2,2500,"45.026129,-74.6943839",3,1.5,0,0,0,1300,1,49442
3501012,Cornwall,5,2160,"45.0151388,-74.7337001",3.5,1,0,0,1,1600,1,49442
3501020,South Dundas,2,2200,"44.950217,-75.2833376",1,1,0,0,0,1550,1,11218
3501020,South Dundas,5,1295,"44.9453534,-75.1870273",3,1,0,0,0,900,1,11218
3501030,North Dundas,1,1400,"45.1009288,-75.2402462",2,1,0,0,0,730,1,12332
3501030,North Dundas,2,2000,"45.0950113,-75.2369148",3,1.5,0,0,1,1500,1,12332
3501030,North Dundas,1,1400,"45.093,-75.3537688",2,1,0,0,0,1000,1,12332
3501030,North Dundas,1,1425,"45.0869777,-75.3716338",1,1,0,1,1,650,1,12332
3501030,North Dundas,1,1450,"45.1035256,-75.22892",1,1,0,0,0,600,1,12332
3501030,North Dundas,1,2000,"45.1299843,-75.3590755",3,1,0,1,1,1234,1,12332
3501042,North Stormont,3,1825,"45.2452887,-75.001594",2,1,0,1,1,1000,1,7828
3501042,North Stormont,6,1800,"45.1234837,-75.0924985",3,2,0,0,1,1850,1,7828
3501050,North Glengarry,1,1450,"45.3139668,-74.6352838",2,1,0,0,0,1266,1,10537
3501050,North Glengarry,1,850,"45.2886749,-74.8545436",2,1,0,0,1,650,1,10537
3501050,North Glengarry,4,1575,"45.3111909,-74.6354902",2,1,0,0,1,900,1,10537
3502008,Hawkesbury,1,1000,"45.6105461,-74.5981073",2,1,0,1,1,800,1,10632
3502008,Hawkesbury,1,1395,"45.6094735,-74.6058962",1,1,0,1,1,650,1,10632
3502008,Hawkesbury,1,1200,"45.606357,-74.610877",2,1,0,0,1,700,1,10632
3502008,Hawkesbury,2,1900,"45.603024,-74.5812572",3,2,0,0,1,2634,1,10632
3502008,Hawkesbury,6,1300,"45.6026111,-74.6174989",2,1,0,0,1,850,1,10632
3502008,Hawkesbury,1,975,"45.6048131,-74.5879529",2,1,0,0,1,800,1,10632
3502008,Hawkesbury,1,1295,"45.6098392,-74.6054307",1,1,0,1,1,1136.65079,1,10632
3502008,Hawkesbury,1,1075,"45.604673,-74.591799",2,1,0,0,0,1050,1,10632
3502008,Hawkesbury,1,1195,"45.6039763,-74.587917",3,1,0,0,1,850,1,10632
3502008,Hawkesbury,1,1095,"45.6099494,-74.6054601",1,1,0,1,1,1136.65079,1,10632
3502008,Hawkesbury,6,1500,"45.6086141,-74.6025337",3,1,0,0,1,1600,1,10632
3502008,Hawkesbury,2,1300,"45.6036854,-74.6028034",3,1,0,1,1,1000,2,10632
3502010,Champlain,1,975,"45.6192681,-74.6928116",1,1,0,1,1,700,1,9044
3502010,Champlain,1,1050,"45.6192681,-74.6928116",2,1,0,1,1,800,1,9044
3502010,Champlain,4,1650,"45.6055087,-74.5782132",2,1.5,0,0,0,1120,1,9044
3502010,Champlain,1,1150,"45.5196512,-74.6522016",1,1,0,0,1,1136.65079,1,9044
3502010,Champlain,1,900,"45.6192681,-74.6928116",2,1,0,0,1,800,2,9044
3502010,Champlain,1,975,"45.6192681,-74.6928116",1,1,0,1,1,700,1,9044
3502023,Alfred and Plantagenet,2,2645,"45.5712706,-75.1164865",3.5,3,0,0,0,1412,1,10640
3502023,Alfred and Plantagenet,2,1950,"45.5691341,-75.1221313",4,2,0,0,0,1136.65079,1,10640
3502023,Alfred and Plantagenet,1,1450,"45.5575834,-74.883277",2,1,0,0,1,1136.65079,1,10640
3502023,Alfred and Plantagenet,2,1900,"45.5357417,-75.1259068",3,2,0,0,0,1200,1,10640
3502023,Alfred and Plantagenet,1,1495,"45.5280182,-74.9925061",2,1,0,0,1,1136.65079,1,10640
3502023,Alfred and Plantagenet,1,1200,"45.5280182,-74.9925061",1,1,1,1,1,1136.65079,1,10640
3502023,Alfred and Plantagenet,1,1495,"45.5280182,-74.9925061",2,1,0,0,0,1136.65079,1,10640
3502023,Alfred and Plantagenet,1,1200,"45.5477034,-75.0347713",1,1,0,0,1,500,2,10640
3502025,The Nation / La Nation,1,1300,"45.3843513,-74.9057852",2,1,0,0,1,800,1,14292
3502025,The Nation / La Nation,1,1270,"45.3831091,-74.9041327",2,1,0,0,1,750,1,14292
3502025,The Nation / La Nation,4,1475,"45.3407405,-75.2507344",1.5,1,0,0,0,1000,1,14292
3502025,The Nation / La Nation,1,2000,"45.2614049,-75.1224143",2,2,0,0,0,1200,1,14292
3502025,The Nation / La Nation,6,1795,"45.2530915,-75.1215289",2,1,0,0,0,1254,1,14292
3502025,The Nation / La Nation,1,1850,"45.3369508,-75.2508545",2,1,0,1,1,1000,1,14292
3502025,The Nation / La Nation,1,3000,"45.3283243,-75.2073888",3.5,3,0,0,1,1136.65079,1,14292
3502025,The Nation / La Nation,1,995,"45.3844998,-74.9051104",1,1,0,0,1,800,1,14292
3502025,The Nation / La Nation,4,2400,"45.3173996,-75.1832534",2,2,0,1,1,1000,1,14292
3502025,The Nation / La Nation,4,2050,"45.3173996,-75.1832534",2,1,0,0,0,1050,1,14292
3502025,The Nation / La Nation,4,1475,"45.3378169,-75.2509884",1.5,1,0,0,0,1000,1,14292
3502025,The Nation / La Nation,2,2300,"45.3343153,-75.2516203",2,1,1,1,1,1000,1,14292
3502036,Clarence-Rockland,1,2000,"45.5730024,-75.2070987",2,1,1,1,1,1000,2,27561
3502036,Clarence-Rockland,1,1625,"45.5539701,-75.2796576",2,1,0,0,0,900,1,27561
3502036,Clarence-Rockland,2,2100,"45.5521119,-75.2707793",3,2,0,0,0,1200,1,27561
3502036,Clarence-Rockland,1,2300,"45.5493384,-75.2492617",3,2,0,1,1,1000,1,27561
3502036,Clarence-Rockland,4,2000,"45.5483729,-75.2916118",2,1,0,0,1,1200,1,27561
3502036,Clarence-Rockland,5,2100,"45.5468464,-75.2767311",3,2,0,0,0,1800,1,27561
3502036,Clarence-Rockland,5,2300,"45.545521,-75.2703042",3,3.5,0,0,0,1700,1,27561
3502036,Clarence-Rockland,1,1879,"45.5423481,-75.2898677",3,1,0,1,1,1136.65079,1,27561
3502036,Clarence-Rockland,1,2100,"45.5423481,-75.2898677",3,1,0,1,1,1136.65079,1,27561
3502036,Clarence-Rockland,1,2275,"45.5420939,-75.2848395",2,1.5,0,1,1,1005,1,27561
3502036,Clarence-Rockland,1,2525,"45.5420939,-75.2848395",2,2,0,1,1,1140,1,27561
3502036,Clarence-Rockland,1,2525,"45.5415422,-75.2862933",2,2,0,1,1,1140,1,27561
3502036,Clarence-Rockland,1,2275,"45.5415422,-75.2862933",2,1.5,0,1,1,1005,1,27561
3502036,Clarence-Rockland,2,2600,"45.5414125,-75.2774835",3,2.5,0,0,0,2000,1,27561
3502036,Clarence-Rockland,5,2150,"45.5404472,-75.299617",3,2,0,0,0,1500,1,27561
3502036,Clarence-Rockland,6,700,"45.4350506,-75.1581561",1,1,1,1,1,600,2,27561
3502036,Clarence-Rockland,2,2350,"45.4184061,-75.1482451",5,1,0,0,0,1200,1,27561
3502036,Clarence-Rockland,1,1995,"45.4121908,-75.2427039",2.5,1,1,1,1,1136.65079,1,27561
3502036,Clarence-Rockland,1,1500,"45.5398104,-75.2925218",2,1,1,1,1,1250,2,27561
3502036,Clarence-Rockland,1,1595,"45.5528151,-75.2864508",2,1,0,0,1,1136.65079,1,27561
3502036,Clarence-Rockland,1,1400,"45.5551534,-75.270576",2,1,0,0,0,1136.65079,1,27561
